,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
621,2020-08-31,153.0,154.3999939,152.2599945,153.4100037,144.8017578,6362700,6362700,-8.19824,-5.358,150.48725,"August 31, 20",-0.05358
622,2020-08-28,152.7400055,153.6999969,151.8999939,153.6399994,145.0188446,5395700,5395700,-7.72116,-5.055,150.20628,"August 28, 20",-0.05055
623,2020-08-27,152.4199982,153.2599945,151.8899994,152.9799957,144.395874,5575400,5575400,-8.02412,-5.264,149.84862,"August 27, 20",-0.05264
624,2020-08-26,151.8600006,152.6499939,150.6399994,152.3000031,143.7540436,8008300,8008300,-8.10596,-5.338,149.01468,"August 26, 20",-0.05338
625,2020-08-25,152.7799988,153.0700073,151.5399933,152.0599976,143.5275116,3863500,3863500,-9.25249,-6.056,149.37917,"August 25, 20",-0.06056
626,2020-08-24,152.7400055,152.8999939,150.3500061,152.1499939,143.612442,5387900,5387900,-9.12756,-5.976,148.95415,"August 24, 20",-0.05976
627,2020-08-21,151.7799988,153.6499939,150.5899963,152.7599945,143.2348633,6722800,6722800,-8.54514,-5.63,149.15828,"August 21, 20",-0.0563
628,2020-08-20,149.75,151.5800018,149.5500031,151.4199982,141.9784393,4874700,4874700,-7.77156,-5.19,147.70281,"August 20, 20",-0.0519
629,2020-08-19,149.5800018,151.5800018,149.3200073,150.3899994,141.0126648,7816300,7816300,-8.56734,-5.728,147.30422,"August 19, 20",-0.05728
630,2020-08-18,149.2599945,150.1000061,148.5700073,150.0899963,140.7313538,4322600,4322600,-8.52864,-5.714,146.46712,"August 18, 20",-0.05714
631,2020-08-17,148.3200073,150.2299957,148.2299957,148.9900055,139.6999664,4306900,4306900,-8.62004,-5.812,146.05332,"August 17, 20",-0.05812
632,2020-08-14,147.6100006,149.3399963,147.5800018,148.2400055,138.9967346,4240200,4240200,-8.61327,-5.835,145.30558,"August 14, 20",-0.05835
633,2020-08-13,148.5399933,149.1900024,147.5299988,148.0,138.7717133,5155500,5155500,-9.76828,-6.576,145.1639,"August 13, 20",-0.06576
634,2020-08-12,147.5399933,150.2400055,147.4900055,149.6600037,140.3282013,5257300,5257300,-7.21179,-4.888,146.0194,"August 12, 20",-0.04888
635,2020-08-11,149.1399994,149.2299957,146.3699951,146.9700012,137.8059235,6388400,6388400,-11.33408,-7.6,144.46864,"August 11, 20",-0.076
636,2020-08-10,148.8600006,149.0099945,147.7200012,148.0299988,138.7998352,4096600,4096600,-10.06017,-6.758,145.17661,"August 10, 20",-0.06758
637,2020-08-07,147.5099945,148.6499939,147.1499939,148.6000061,139.3343048,3635100,3635100,-8.17569,-5.542,145.04476,"August 07, 20",-0.05542
638,2020-08-06,148.3999939,149.25,146.5,147.5500031,138.3497772,4837900,4837900,-10.05022,-6.772,144.69993,"August 06, 20",-0.06772
639,2020-08-05,149.1000061,149.3099976,147.8000031,148.3999939,139.1467285,5467500,5467500,-9.95328,-6.676,145.41891,"August 05, 20",-0.06676
640,2020-08-04,146.9900055,147.2200012,145.8200073,147.2200012,138.040329,4162200,4162200,-8.94968,-6.089,143.69345,"August 04, 20",-0.06089
641,2020-08-03,146.3899994,147.7899933,146.1499939,147.3500061,138.1622314,4078700,4078700,-8.22777,-5.62,144.03407,"August 03, 20",-0.0562
642,2020-07-31,146.6600037,147.4499969,143.9600067,145.7599945,136.6713715,8259600,8259600,-9.98863,-6.811,142.69379,"July 31, 20",-0.06811
643,2020-07-30,147.4400024,147.5,146.1399994,146.8399963,137.684021,5922500,5922500,-9.75598,-6.617,143.77467,"July 30, 20",-0.06617
644,2020-07-29,146.3899994,147.4700012,146.0700073,146.5399933,137.4027252,4489100,4489100,-8.98727,-6.139,143.64758,"July 29, 20",-0.06139
645,2020-07-28,147.3999939,147.9900055,146.75,146.8300018,137.6746368,4842200,4842200,-9.72536,-6.598,144.13821,"July 28, 20",-0.06598
646,2020-07-27,147.3699951,148.9199982,146.8600006,147.1799927,138.0028229,5675200,5675200,-9.36717,-6.356,144.59427,"July 27, 20",-0.06356
647,2020-07-24,150.5,150.6000061,147.0299988,148.1199951,138.8842163,5405900,5405900,-11.61578,-7.718,145.50474,"July 24, 20",-0.07718
648,2020-07-23,150.2100067,150.8500061,149.2799988,149.6100006,140.2812958,6566300,6566300,-9.92871,-6.61,146.80377,"July 23, 20",-0.0661
649,2020-07-22,149.9299927,150.4100037,147.8500061,150.0099945,140.6563416,5910200,5910200,-9.27365,-6.185,146.30545,"July 22, 20",-0.06185
